engineer,prs_opened,prs_closed,pr_comments,prs_merged,issues_opened,issues_closed,prs_merged_norm,prs_closed_norm,issues_closed_norm,prs_opened_norm,issues_opened_norm,pr_comments_norm,impact_score,rank
elenamitreskaGIT,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.044444444444444446,0.0,0.009,138
dmiska25,2.0,2.0,3.0,2.0,0.0,0.0,0.010869565217391304,0.009302325581395349,0.0,0.008333333333333333,0.0,0.0031914893617021275,0.0073,139
zhou-quickli,2.0,2.0,0.0,2.0,0.0,0.0,0.010869565217391304,0.009302325581395349,0.0,0.008333333333333333,0.0,0.0,0.0071,140
emmanuellep-ask,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,141
RafeSacks,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,142
imaje89,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,143
NtFelix,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,144
NVolcz,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,145
rawmarshmellows,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,146
scoobhidu,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,147
suleyman-shb,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,148
purvalpatel,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,149
timurkh-devstark,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,150
wassafshahzad,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,151
yijiaradpod,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,152
michaelpomogajko,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,153
leen-she,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,154
jaredromano,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,155
igor-soldev,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,156
hamzaowaisog,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,157
Spearhead1038,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,158
fevlake,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,159
IqroNegoro,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,160
feschaffa,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,161
TrevorLoucks,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.022222222222222223,0.0,0.0068,162
kmt901,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0067,163
SaraMiteva,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0067,164
